codpanelista2,wave,sex,age,education,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,immigeco,immicult,polintr,constpref,populisma,populismd,populismf,populismi,populismj,populismn,lrself,femstrike,femdemonstrate,feminfo,femtalk,vote2016,voteintentionspain,hhincome,livingpartner,indeprespect,curiosmanners,selfconfobed,empathybehave
3905,10,2,19,6,4,4,4,4,4,4,4,4,4,6,5,4,3,4,4,4,4,4,4,5,2,2,2,2,,54,99,0,2,2,2,1
3905,11,2,20,6,4,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,4,5,2,2,2,1,,52,99,0,2,2,2,1
3905,12,2,21,6,4,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,4,5,2,2,2,2,,52,99,0,2,2,2,2
3906,10,1,38,1,7,7,7,7,7,7,7,7,7,5,6,3,5,4,6,2,1,3,7,10,2,2,2,2,,4,99,0,2,1,1,1
3907,10,2,24,11,1,7,1,2,1,6,6,1,1,8,4,2,4,7,6,6,5,6,5,0,1,1,1,1,3,18,99,1,1,1,2,1
3907,11,2,25,11,1,6,1,1,2,6,6,1,1,0,6,2,5,7,4,3,7,7,3,0,1,2,2,1,,3,99,1,1,1,2,1
3907,12,2,26,11,1,6,1,2,2,7,6,1,1,8,6,1,4,5,6,4,3,5,4,0,2,2,2,1,,3,2,1,1,1,2,1
3908,10,1,49,3,5,5,6,5,4,6,5,5,5,7,5,2,1,6,6,7,7,6,6,7,2,1,1,1,2,2,8,1,2,2,2,1
3908,11,1,51,2,4,4,7,5,3,1,4,5,3,3,9,3,3,7,6,7,7,7,7,5,2,2,1,1,,23,5,1,2,2,2,1
3908,12,1,51,3,3,4,5,5,3,5,4,5,4,7,6,3,1,7,3,4,4,5,7,3,2,2,2,1,,23,6,1,2,2,2,2
3909,10,1,45,3,1,4,4,6,2,6,6,3,1,7,4,3,3,3,3,3,3,5,6,7,2,2,2,2,2,2,8,1,2,2,2,2
3909,11,1,46,3,1,6,5,2,2,2,7,6,2,4,8,3,2,5,4,3,2,5,6,6,2,2,2,1,,2,9,1,1,2,1,2
3909,12,1,47,3,4,4,4,5,3,3,2,4,1,6,9,3,5,4,6,4,2,4,7,7,2,2,2,2,,2,9,1,2,2,2,2
3910,10,2,50,3,2,6,4,3,1,6,6,3,3,5,3,3,1,7,3,5,6,5,6,6,1,1,2,1,4,23,1,0,2,2,2,1
3910,11,2,51,3,7,7,2,1,1,7,6,6,1,5,5,2,2,6,2,5,6,7,7,6,2,1,2,1,,1,2,0,2,1,2,1
3911,10,2,41,8,1,6,2,2,2,7,7,1,1,7,6,2,4,2,3,3,2,3,6,3,1,1,1,1,56,54,99,0,1,1,2,1
3912,10,1,34,4,2,1,4,4,2,2,2,4,4,8,5,2,5,5,4,4,4,6,2,2,2,2,2,1,3,3,1,1,2,2,2,2
3912,11,1,35,4,1,5,3,3,3,5,5,4,3,9,8,2,5,6,4,4,2,6,4,2,2,2,1,1,,3,2,0,2,2,2,1
3913,10,1,27,1,3,3,4,4,4,3,4,3,4,5,6,4,3,4,4,5,4,3,4,4,2,2,1,2,,1,5,0,2,2,1,2
3913,12,1,29,3,4,4,3,4,3,5,2,5,3,3,5,4,3,3,3,2,3,3,2,7,2,1,1,2,,55,5,0,1,2,2,2
3914,10,1,40,1,4,5,4,2,5,4,4,4,5,10,8,4,1,4,4,4,4,4,4,10,2,2,2,2,,53,5,1,2,2,2,2
3914,11,1,41,4,4,4,4,4,5,4,4,4,4,9,9,3,1,7,7,7,7,7,7,5,2,2,2,2,,54,99,1,2,1,2,1
3914,12,1,42,3,4,4,4,4,4,4,1,5,4,6,6,4,5,5,5,5,5,5,5,3,2,2,2,2,,53,4,1,2,2,1,2
3915,10,2,20,6,1,6,2,2,1,7,7,1,1,5,2,3,5,6,4,3,4,5,5,2,1,2,2,2,9,54,11,0,1,1,2,1
3916,10,1,38,1,4,4,4,4,4,4,4,4,4,5,5,4,3,7,7,7,7,7,7,5,2,2,2,2,,54,99,0,1,1,1,1
3916,11,1,39,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,2,1,,53,99,0,2,2,2,2
3917,10,1,35,4,1,7,1,1,1,1,1,1,1,0,10,1,1,7,4,4,1,7,7,0,2,2,2,1,,3,3,0,2,2,2,2
3918,10,2,29,3,2,5,5,3,2,5,5,5,4,2,1,4,3,6,4,6,6,6,5,5,2,2,2,2,,53,99,1,1,2,2,2
3918,12,2,31,3,4,4,6,4,4,4,4,5,4,5,5,3,4,6,4,4,5,7,7,5,2,2,2,2,,52,6,1,1,2,2,1
3919,10,2,39,3,1,6,3,1,1,3,6,4,4,4,8,3,4,6,4,5,6,5,7,4,1,1,2,1,56,52,99,1,2,2,2,1
3920,10,2,38,3,1,7,4,3,3,5,7,6,2,10,0,3,2,5,7,7,3,1,7,10,1,1,1,1,,1,3,1,2,2,1,1
3920,11,2,39,1,4,4,4,4,4,4,4,4,4,10,10,4,1,4,4,4,4,4,4,7,2,2,2,2,,1,3,1,1,1,1,2
3920,12,2,40,3,4,4,4,4,4,4,4,4,4,2,3,3,2,4,3,4,4,4,4,5,1,2,2,1,,1,7,1,2,2,1,2
3921,10,1,33,3,6,7,7,7,7,6,6,6,7,7,0,4,2,7,6,5,7,7,6,10,2,1,1,1,2,2,4,0,2,2,2,2
3921,11,1,34,1,7,7,7,7,7,7,6,7,7,10,10,3,2,7,7,7,6,6,7,10,1,1,1,1,,2,3,0,2,2,2,2
3922,10,1,34,10,2,6,1,2,2,5,5,5,2,7,7,2,3,6,4,5,6,6,6,6,2,2,2,1,4,4,99,1,2,2,2,2
3922,11,1,35,10,5,5,5,5,5,4,5,5,5,7,7,3,3,6,4,5,5,3,5,5,2,2,2,2,,4,99,1,2,2,2,2
3922,12,1,36,10,2,3,3,4,3,3,5,5,3,6,6,2,3,5,4,6,3,5,7,5,2,2,2,1,,4,5,1,2,2,2,2
3923,10,1,28,10,6,1,4,5,5,2,3,6,6,5,5,1,1,4,2,5,5,5,7,6,2,2,2,2,4,4,7,0,2,2,2,2
3923,11,1,29,10,5,1,5,5,5,1,1,5,7,6,8,1,1,5,2,5,6,5,6,4,2,2,2,2,,4,10,1,1,2,2,2
3923,12,1,30,10,7,1,6,6,6,2,1,7,7,5,10,1,1,5,1,5,5,5,6,4,2,2,2,2,,4,10,1,1,2,2,1
3924,10,2,40,3,4,7,4,3,3,5,5,5,3,0,3,3,3,6,6,5,5,5,7,5,2,2,1,1,1,1,6,1,2,2,2,2
